,Alpha,Delta,Omicron,Other
2020_11_16,1.0,1.0,1.0,97.0
2020_11_30,4.0,0.0,0.0,96.0
2020_12_14,1.0,2.0,0.0,97.0
2020_12_28,0.0,0.0,0.0,100.0
2021_01_12,1.0,0.0,0.0,99.0
2021_01_25,0.0,0.0,1.0,99.0
2021_02_08,0.0,0.0,0.0,100.0
2021_02_22,0.0,0.0,0.0,100.0
2021_03_08,0.0,1.0,0.0,99.0
2021_03_22,1.0,0.0,0.0,99.0
2021_04_05,0.0,4.0,2.0,94.0
2021_04_19,1.0,6.0,2.0,91.0
2021_05_03,4.0,11.0,0.0,85.0
2021_05_17,5.0,41.0,0.0,54.0
2021_05_31,2.0,56.00000000000001,0.0,42.0
2021_06_14,0.0,43.0,0.0,56.99999999999999
2021_06_28,0.0,60.0,0.0,40.0
2021_07_12,3.0,59.0,0.0,38.0
2021_07_26,3.0,71.0,1.0,25.0
2021_08_09,73.0,2.0,1.0,24.0
2021_08_23,1.0,71.0,1.0,27.0
2021_09_06,65.0,0.0,1.0,34.0
2021_09_20,1.0,85.0,0.0,14.000000000000002
2021_10_04,1.0,68.0,1.0,30.0
2021_10_18,1.0,92.0,1.0,6.0
2021_11_01,0.0,95.0,0.0,5.0
2021_11_15,2.0,0.0,0.0,98.0
2021_11_29,0.0,92.0,0.0,8.0
2021_12_13,0.0,39.0,56.99999999999999,4.0
2021_12_27,0.0,3.0,96.0,1.0
2022_01_10,1.0,0.0,0.0,99.0
2022_01_24,0.0,0.0,98.0,2.0
2022_02_07,2.0,0.0,0.0,98.0
2022_02_21,0.0,0.0,99.0,1.0
2022_03_07,0.0,0.0,0.0,100.0
