#name	length	coverage
NODE_1	381418	44.035093
NODE_2	349825	41.749440
NODE_3	324186	31.783191
NODE_4	202267	38.861471
NODE_5	188896	33.207615
NODE_6	186199	32.443766
NODE_7	176592	35.067363
NODE_8	133850	32.372870
NODE_9	122604	37.828827
NODE_10	105415	35.871252
NODE_11	92529	42.967937
NODE_12	57736	34.248825
NODE_13	53341	39.490292
NODE_14	50246	28.247742
NODE_15	49715	35.713258
NODE_16	39122	40.848170
NODE_17	37562	38.351282
NODE_18	34951	31.588539
NODE_19	34850	39.744628
NODE_20	33249	35.218219
NODE_21	32717	33.387074
NODE_22	27338	69.382343
NODE_23	21807	82.980941
NODE_24	21269	31.962849
NODE_25	20228	37.169389
NODE_26	12406	35.135135
NODE_27	6066	78.469152
NODE_28	5542	39.975261
NODE_29	4864	40.233522
NODE_30	4432	41.102830
NODE_31	2624	42.712091
NODE_32	2547	33.270106
NODE_33	2394	36.487224
NODE_34	2230	42.264336
NODE_35	1641	238.622751
NODE_36	1593	253.027851
NODE_37	1501	247.513418
NODE_38	878	10.747793
NODE_39	827	235.916442
NODE_40	676	232.438240
NODE_41	609	93.669847
NODE_42	580	70.501010
NODE_43	513	81.871495
NODE_44	431	1.526012
NODE_45	429	1.183140
NODE_46	399	89.949045
NODE_47	309	64.727679
NODE_48	277	0.536458
NODE_49	271	1.392473
NODE_50	267	71.296703
NODE_51	265	18.927778
NODE_52	263	35.033708
NODE_53	261	82.267045
NODE_54	243	1.012658
NODE_55	242	0.828025
NODE_56	234	89.033557
NODE_57	233	85.824324
NODE_58	189	41.759615
NODE_59	179	89.244681
NODE_60	171	130.127907
NODE_61	171	115.290698
NODE_62	171	114.941860
NODE_63	171	59.709302
NODE_64	171	53.523256
NODE_65	171	45.325581
NODE_66	171	38.186047
NODE_67	170	40.929412
NODE_68	168	35.674699
NODE_69	140	34.145455
NODE_70	126	80.951220
NODE_71	99	125.428571
NODE_72	90	85.200000
